industry_hash_id	code_source	code_	description_	version_	start_date	end_date	created_by	create_date	modified_by	modified_date
b9c5753075f2900a5386cf320dbdb94e	NASIC	621320	Offices of Optometrists	current	2024-12-19		kds_adm	2024-12-19		
e34c2053355e141958b6a636b6bf415d	NASIC	621310	Offices of Chiropractors 	current	2024-12-19		kds_adm	2024-12-19		
9b3edc2137696e28aa8ba0c07e949510	NASIC	621210	Offices of Dentists 	current	2024-12-19		kds_adm	2024-12-19		
3b9471a0defb654c6ea634261023636f	NASIC	621112	Offices of Physicians, Mental Health Specialists 	current	2024-12-19		kds_adm	2024-12-19		
a0d1ba6ca1d53957cab0c6c91b16368f	NASIC	621111	Offices of Physicians (except Mental Health Specialists) 	current	2024-12-19		kds_adm	2024-12-19		
6a7c06289b8b46db7318a3dff189ad9d	NASIC	611710	Educational Support Services	current	2024-12-19		kds_adm	2024-12-19		
f5f11655015140f3b43c550658b563ee	NASIC	611699	All Other Miscellaneous Schools and Instruction 	current	2024-12-19		kds_adm	2024-12-19		
facf338e2e0132f9efacc4486da1c7c4	NASIC	611692	Automobile Driving Schools 	current	2024-12-19		kds_adm	2024-12-19		
dc29824ef3476360e5ed9312079992fc	NASIC	611691	Exam Preparation and Tutoring 	current	2024-12-19		kds_adm	2024-12-19		
ea884b5ed53695b5c91cdb1164a19885	NASIC	611630	Language Schools 	current	2024-12-19		kds_adm	2024-12-19		
e1cdf10348914cddd207cdf632c4b845	NASIC	611620	Sports and Recreation Instruction 	current	2024-12-19		kds_adm	2024-12-19		
20bda4a1bf313cc8f03e6539e0a61735	NASIC	611610	Fine Arts Schools 	current	2024-12-19		kds_adm	2024-12-19		
c8b4fa2fc02faff6507f958171c0eb6b	NASIC	611519	Other Technical and Trade Schools 	current	2024-12-19		kds_adm	2024-12-19		
3917716a952f870ad6942d6ff8f563e3	NASIC	611513	Apprenticeship Training 	current	2024-12-19		kds_adm	2024-12-19		
0f56ae53f40ff0c9a918d5e516e53853	NASIC	611512	Flight Training 	current	2024-12-19		kds_adm	2024-12-19		
15d5605b4fefb2c7b7d8e4f4d7ae8719	NASIC	611511	Cosmetology and Barber Schools 	current	2024-12-19		kds_adm	2024-12-19		
21d1c219f4928241b1556be40b90f944	NASIC	611430	Professional and Management Development Training 	current	2024-12-19		kds_adm	2024-12-19		
846342f5385f88c2cb6845f6e90ba2fc	NASIC	611420	Computer Training 	current	2024-12-19		kds_adm	2024-12-19		
ef6346f43bd16961333818641b02b718	NASIC	611410	Business and Secretarial Schools 	current	2024-12-19		kds_adm	2024-12-19		
b1dd9fab03691beb70fc50bf0a7267b8	NASIC	611310	Colleges, Universities, and Professional Schools 	current	2024-12-19		kds_adm	2024-12-19		
